"Address","Style","Status","TFA SF","TBeds","TBaths","List Price","Sold Price","Sold Date","YrBlt","DOM","Lot Sq Metres"
"17103 121 Street","ST2","X","1,583.81","4","2.1","$444,000",,,"2013","91","312.98"
"9144 142 Street","BUNG","X","1,012.35","2","2.0","$445,000",,,"1954","96",
"20731 25 Avenue","ST2","T","1,608.03","3","2.1","$448,900",,,"2022","26",
"20751 25 Avenue","ST2","T","1,616.00","3","2.1","$449,000",,,"2022","41",
"10741 129 Street","ST1.5","X","1,130.22","3","1.0","$449,000",,,"1948","89","650.47"
"1485 PLUM Circle","ST2","T","1,373.49","3","2.1","$449,900",,,"2023","108",
"9826 66 Avenue","BUNG","X","954.98","3","2.0","$450,000",,,"1957","121",
"6022 105A Street","BUNG","T","965.96","3","2.0","$450,000",,,"1964","76",
"8927 88 Avenue","ST2","T","1,384.57","4","3.1","$455,000",,,"1992","27","365.62"
"9828 81 Avenue","BUNG","T","1,200.19","5","2.0","$455,000",,,"1965","86",
"17461 77A Street","ST3","T","1,822.35","5","3.1","$459,500",,,"2018","29","309.48"
"8012 167 Street","BUNG","X","1,075.00","5","2.1","$459,900",,,"1965","93","571.55"
"17619 84 Avenue","BUNG","X","1,026.89","4","2.0","$459,900",,,"1972","93","553.56"
"5433 CHAPPELLE Road","ST2","T","1,351.85","4","3.1","$459,900",,,"2017","149","302.16"
"2512 19A Avenue","ST2","T","1,142.06","3","3.1","$464,900",,,"2016","251","269.75"
"1503 22 Street","ST2","X","1,582.85","3","2.1","$464,900",,,"2017","62","336.61"
"9854 69 Avenue","ST2","X","1,240.66","4","2.1","$464,900",,,"1963","84",
"10412 26 Avenue","BUNG","T","1,270.15","5","3.0","$469,900",,,"1978","61","520.87"
"21121 92A Avenue","BLEVL","T","1,277.69","4","3.0","$474,900",,,"2006","26","376.04"
"10750 155 Street","ST2","T","1,703.83","3","2.1","$474,900",,,"2013","20","346.86"
"4508 210 Street","ST2","X","1,993.71","4","2.1","$475,000",,,"2007","134","688.40"
"9399 223 Street","ST2","X","1,496.63","3","2.1","$479,900",,,"2019","63","445.36"
"2878 KOSHAL Crescent","ST2","T","1,596.41","3","3.1","$479,900",,,"2017","25","293.38"
"2019 207 Street","ST2","X","1,673.91","3","2.1","$480,990",,,"2022","84","291.38"
"12020 125 Street","ST2","T","1,539.04","3","2.1","$484,900",,,"2022","81","348.23"
"123 CASTLE Drive","ST2","T","2,008.45","3","2.1","$487,000",,,"2004","45","436.18"
"9623 74 Street","BUNG","X","1,085.01","4","2.0","$494,900",,,"1959","160",
"811 176 Street","ST2","X","1,759.05","3","2.1","$495,000",,,"2022","90","346.61"
"12467 47 Street","ST2","X","1,599.85","3","2.1","$495,000",,,"2023","63",
"15184 25 Street","ST2","T","1,738.82","3","2.1","$499,000",,,"2019","55","308.06"
"17772 73 Street","ST2","T","1,744.63","3","2.1","$499,900",,,"2022","64","289.88"
"9339 149 Street","BUNG","T","978.56","3","2.0","$499,900",,,"1954","32",
"1106 116 Street","ST2","T","1,803.72","4","3.1","$499,900",,,"1994","83","503.17"
