"Add","Community","Style","TFA SF","Stat","BedsAG","TBeds","List$","Sold Price","Sold Date","YrBlt","REMOD","Bsmt Dev","PK","LotM2","DOM","Condo Fee","PC"
"15645 18 Avenue","Glenridding Ravine","2 Storey","1,646.89","X","3","3","$457,498",,,"2022",,"U-FIN","PAD",,"151",,"T6W 5C2"
"11039 123 Street","Westmount","2 Storey","1,672.73","X","3","3","$482,000",,,"2011",,"U-FIN","2GDET",,"123",,"T5M 0E4"
"2239 BRENNAN Court","Breckenridge Greens","2 Storey","2,212.00","X","3","3","$485,000",,,"2001",,"U-FIN","2GATT, INSUL","545.72","92",,"T5T 6M3"
"1328 22 Street","Laurel","2 Storey","1,659.81","X","3","3","$490,156",,,"2022",,"U-FIN","PAD",,"151",,"T6T 2R6"
"1320 22 Street","Laurel","2 Storey","1,594.15","X","3","3","$490,977",,,"2022",,"U-FIN","PAD",,"151",,"T6T 2R6"
"14725 43A Avenue","Ramsay Heights","Bungalow","1,431.29","X","3","4","$491,500",,,"1983",,"F-FIN","2GATT","646.29","62",,"T6H 5T8"
"2143 13 Avenue","Laurel","2 Storey","1,647.97","X","3","3","$496,118",,,"2022",,"U-FIN","PAD",,"151",,"T6T 2R6"
"11403 123 Street","Inglewood (Edmonton)","2 Storey","1,713.31","X","2","2","$499,900",,,"2007",,"P-FIN","2GDET","361.46","91",,"T5M 0G3"
"17447 9 Avenue","Windermere","2 Storey","1,765.30","X","3","3","$502,498",,,"2022",,"U-FIN","OVSZ, 1GATT",,"151",,"T6W 2X3"
"3613 2 Street NW","Maple","2 Storey","1,673.59","X","3","3","$535,000",,,"2022",,"U-FIN","2GATT",,"85",,"T6T 2P9"
"6207 Hampton Gray Avenue","Griesbach","2 Storey","1,646.89","X","3","3","$547,498",,,"2022",,"U-FIN","2GDET",,"151",,"T5E 6X6"
"17620 49 Street","Cy Becker","2 Storey","1,911.69","X","3","3","$552,497",,,"2022",,"U-FIN","2GATT",,"151",,"T5Y 4C6"
"22614 99A Avenue","Secord","2 Storey","1,910.83","X","3","3","$562,498",,,"2022",,"U-FIN","2GATT",,"151",,"T5T 7V1"
"3233 16A Avenue","Laurel","2 Storey","2,089.29","X","3","3","$574,999",,,"2011",,"P-FIN","2GATT","367.49","91",,"T6T 0P6"
"13122 121 Street NW","Calder","Bi-Level","1,768.53","X","3","6","$578,000",,,"1993",,"F-FIN","2GATT","580.23","100",,"T5L 0B6"
"261 Fraser Way","Fraser","2 Storey","2,176.48","X","3","3","$579,900",,,"2018",,"U-FIN","2GATT",,"92",,"T5Y 0Y5"
"9826 158 Street","Glenwood (Edmonton)","2 Storey","1,850.01","X","3","4","$589,400",,,"2023",,"F-FIN","STRET, REAR","343.83","92",,"T5P 2X3"
"8415 Ellis Crescent NW","Edgemont (Edmonton)","2 Storey","2,393.38","X","4","4","$599,900",,,"2013",,"U-FIN","TAND, 3GATT","400.08","61",,"T6M 0P5"
"2020 ROCHESTER Avenue","Griesbach","2 Storey","2,030.95","X","4","4","$599,900",,,"2016",,"U-FIN","2GATT","433.92","123",,"T5E 6K3"
